Date,Silver_10,Gold_10,Silver_30,Gold_30,Silver_100,Gold_100,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,Target
2021-04-16,4.668143131238516,3.040834057341442,2.614613962130948,4.6347518580865446,8.596512725894973,-4.411368366177623,56.63034701337549,-0.06771776476438518,0.1661245839228249,-0.23384234868721007,98.8777877928109,91.36410456285826,0.0
2021-04-19,4.312881577552826,2.4551259070099882,2.272634935268558,4.2049484342792995,6.090848643250596,-5.511051613657299,53.213092349746425,-0.033647558965423485,0.16015583177742929,-0.19380339074285277,94.43451506649467,96.34377073711276,1.0
2021-04-20,2.471042336679112,2.0557019137596897,2.3573665560621078,5.93670504589806,9.359119893942893,-3.2919794532913356,53.25842460734631,-0.006251864626676706,0.15004122089294086,-0.15629308551961757,87.89161861544437,93.73464049158333,1.0
2021-04-21,5.278804513506664,2.999831847282818,1.5947674983075089,4.409884324759374,14.052038222965551,-0.6925974989925547,60.73595140083651,0.07351697864979556,0.1838480513355305,-0.11033107268573496,87.89161861544437,90.07258409912782,0.0
2021-04-22,2.3661446926340792,1.3888832915291627,0.2758428684326193,3.467903059650015,12.065416927073317,-1.3568145684503026,55.604901303637924,0.10398519247136662,0.17145301212568126,-0.06746781965431466,86.22438549959645,87.33587424349508,1.0
2021-04-23,3.02634749869897,1.9331125008875356,-0.32490249097742174,3.175982675556071,15.62541678059198,-0.27498873937519375,54.377576142947184,0.11893338225221584,0.1491209615252244,-0.03018757927300856,83.52484243761302,85.88028218421796,1.0
2021-04-26,5.464128139934137,2.7726433314365617,1.2789849013599293,3.471936677631579,16.31756448495578,0.1971053723175569,55.82805954792276,0.13997908154075134,0.1361333286510079,0.0038457528897434187,76.82029612101702,82.18984135274218,1.0
2021-04-27,3.914706088056967,1.8211000868934846,0.6056465743247322,2.839954589194818,9.898887431594417,-1.9899661579719465,57.98582450824421,0.17090687914653557,0.13364890100543372,0.03725797814110185,81.15528958641967,80.5001427150166,1.0
2021-04-28,2.2183029523051445,2.2076157829756067,0.4119444050558028,2.4615726445687844,8.55775146099732,-2.8756094322235946,53.36291841722326,0.16678574221300835,0.10362221125752519,0.06316353095548316,81.23104166147384,79.73554245630355,1.0
2021-04-29,0.37370983359639354,0.15293707570730977,0.0883550104024872,2.3917028949495496,8.162077518950154,-3.740204236493679,52.978148458849105,0.15942263051043426,0.07700727964396087,0.08241535086647339,78.2385998906887,80.20831037952742,1.0
2021-04-30,-0.9425659264482136,-0.6576701052206295,-1.7780423229812874,2.0263305995652487,6.817343247585257,-3.7365855805700288,50.19413935371671,0.1358827040238495,0.04277388252590088,0.09310882149794862,60.46270518318233,73.31078224511499,1.0
2021-05-03,4.3049105570800545,1.2433593136908263,2.4760420701972783,2.8712529745613016,8.900212767942172,-3.7812881387759374,61.934659245268634,0.2028427999570539,0.08778718276728423,0.11505561718976967,66.80888293567038,68.5033960031805,1.0
2021-05-04,2.724987412310686,-0.0843976795583298,3.1001140585773377,2.1866727432551905,7.514987607720109,-5.078041347043384,56.6083296387933,0.22076479589684794,0.0845673429656626,0.13619745293118535,63.172509221831355,63.48136578022804,1.0
2021-05-05,-0.23715311151990442,-0.4575167672147878,5.166666691896145,3.444078743882505,10.7480170110309,-2.7526436646697996,56.13223243854941,0.22933894043826442,0.07451319000566325,0.15482575043260116,69.59239993181467,66.52459736310549,1.0
2021-05-06,4.920914332252352,1.9256708830223437,8.97186484821816,4.766574783439491,14.277390604853576,-0.9871278265126257,64.47978773503017,0.3100241494193767,0.12415871918942045,0.18586543022995627,70.70960508284607,67.82483807883072,1.0
2021-05-07,5.311194718376975,3.044455576023495,9.751421135606531,6.156875741708593,14.272637999239505,-0.47288145511948865,64.47978773503016,0.3697060180009366,0.14707247021678427,0.22263354778415234,81.00787266604415,73.76995922690165,1.0
2021-05-10,4.837662155739805,3.276756431435686,9.512996682587591,6.078977704443819,14.567435448357733,0.481218847437805,64.61806408252865,0.41360828393291627,0.15277978891901112,0.26082849501390515,88.59492291511192,80.1041335546674,1.0
2021-05-11,4.713762308634161,3.2564693146266874,11.759000597708361,7.230889001429751,12.513731304301068,-0.8853870313526219,66.10587007970568,0.4574905514441454,0.15732964514419218,0.30016090629995323,86.3532535749951,85.31868305205042,1.0
2021-05-12,4.40934608896987,2.7859252072173213,12.893331839358247,8.23682814661979,8.989394576946495,-1.8048596756984843,59.642020626600385,0.45267487652385086,0.12201117617911805,0.3306637003447328,78.92963342747585,84.62593663919431,1.0
2021-05-13,3.8037890005143025,3.1502784916745923,10.30713548476739,6.418485054613962,3.6168591200896647,-3.359469265796728,57.00691856914625,0.4288258229637165,0.07852969809518695,0.35029612486852957,72.27826637782296,79.18705112676466,1.0
2021-05-14,5.802034436299663,3.9947928272141158,9.69721767281126,6.452361680513322,5.410618012871829,-2.5348638699442647,60.14074680206413,0.42990333694193694,0.06368576965872591,0.36621756728321103,67.62996508444245,72.9459549632471,1.0
2021-05-17,4.888094854470075,4.248072711220853,14.12187405260317,8.135495078170237,7.5424323013898285,-0.6226027818156803,67.60502108192499,0.4982016032114416,0.10558722874258442,0.39261437446885716,77.18951807109647,72.36591651112064,0.0
2021-05-18,6.6882687671961625,5.180763457052053,12.303662129060141,7.252371451514499,11.323422029719213,0.06429193495573626,67.9893611470329,0.550341738058421,0.12618189087165105,0.42415984718676997,86.36493564243335,77.06147293265745,0.0
2021-05-19,5.682584580387272,5.448129284922213,10.99750184419366,8.114480502457436,8.457249324609931,0.35206154734917866,63.39905931699307,0.5605103334049204,0.10908038897452033,0.4514299444304001,87.07087690306201,83.5417768721973,0.0
2021-05-20,2.1484238397882707,3.6518892221495456,9.710977269065282,7.115209274008238,8.682341444583583,0.10107050318565265,63.77776168521317,0.5655996208800111,0.09133574115968879,0.47426387972032236,80.50717207785142,84.64766154111561,0.0
2021-05-21,0.04005418253664034,2.4903050731211915,8.541735523675733,7.6521481447455715,3.8284222348129346,-0.026635415139866492,55.62212123124544,0.5169533027247475,0.03415153840354007,0.4828017643212074,68.09286462329753,78.55697120140367,1.0
2021-05-24,1.4847666848755217,2.5632639774659864,12.207775363714713,8.86090739028867,6.691401826057514,0.260681201327246,59.60020230751528,0.5059744904918873,0.018538180936543858,0.4874363095553434,65.01199348034676,71.20401006049859,0.0
2021-05-25,1.3739779215961563,3.3879813903116243,10.308064909737691,8.698890657517335,5.8479301401182555,0.3754614270723162,60.96552684731843,0.5035726996047245,0.012909112039504844,0.49066358756521966,62.38859067977241,65.1644829278056,0.0
2021-05-26,2.2841604055561975,4.318011318796746,9.163242434445214,9.59133218470394,5.776241326677846,0.4331558474427362,58.36009589551438,0.4812741704889554,-0.007511533661011427,0.4887857041499668,63.84051556001827,63.74703324004583,1.0
2021-05-27,3.2354680511705993,3.9423127765540404,7.562803585045405,7.380759315501829,2.327372158219055,-2.5196689067880436,59.036341772771934,0.4635841630358577,-0.02016123289128735,0.48374539592714505,60.9091888946742,62.379431711488316,1.0
2021-05-28,2.3397776282437928,3.5148797392574442,7.256979317922098,6.942102304665543,1.5305969971658533,-2.570796969690529,59.82416520653537,0.450344546613227,-0.026720679451134488,0.47706522606436147,58.447512922934784,61.06573912587577,1.0
2021-06-01,-0.6263271208167663,1.8955836366298526,8.71821014772113,7.544930380805696,4.115228665456998,-0.20976453661901281,60.81133161617756,0.4420189955299918,-0.028036984427495804,0.4700559799574876,62.648416047780195,60.668372621796415,0.0
2021-06-02,-0.45206737223882754,2.125492565265919,9.100065116375218,7.325715838342727,3.625000122715442,-0.2510091881797793,61.96322043807526,0.43867544970186145,-0.025104424204500986,0.46377987390636244,67.52512996093333,62.87368631054945,0.0
2021-06-03,-1.9565850722590137,-0.5368679845908376,3.3690891489635306,4.402159247573407,11.707746588156716,2.022789165246307,50.66009654026172,0.37314204341240753,-0.07251026439516395,0.4456523078075715,55.42657993209491,61.86670864693616,0.0
2021-06-04,-0.6167130165801032,0.42512486940267286,6.514097721485706,6.097018899242646,10.459999826185594,2.1734468951564763,55.684472441947875,0.35097042692762415,-0.07574550470395791,0.42671593163158206,48.41120803934718,57.12097264412515,0.0
2021-06-07,1.9218865291044755,1.0710341652483562,7.378148602772205,6.7417022413126055,10.309638324361517,2.924739470400715,57.05572675092852,0.3393320123857144,-0.06990713539669413,0.40923914778240855,42.243847792715634,48.6938785880526,0.0
